1.12730,1.37875,1.90229,1.98132,1.82910,0.72818,1.67907,0.01943,0.94983,1.58358
1.44737,2.00000,0.00601,6.00000,0.46464,10.00000,1.33174,14.00000,0.67341,18.00000
0.40255,4.00000,0.63702,12.00000,1.32355,20.00000,0.10093,28.00000,1.31766,36.00000
1.25738,6.00000,0.97339,18.00000,1.02858,30.00000,0.39845,42.00000,0.86627,54.00000
1.82999,8.00000,0.32208,24.00000,1.26882,40.00000,1.23309,56.00000,0.16994,72.00000
1.11978,10.00000,1.56953,30.00000,0.64460,50.00000,1.79798,70.00000,0.15172,90.00000
1.78356,12.00000,0.57851,36.00000,0.70181,60.00000,0.19064,84.00000,0.37509,108.00000
0.32789,14.00000,1.56026,42.00000,0.89443,70.00000,0.92145,98.00000,1.58603,126.00000
0.37909,16.00000,0.86536,48.00000,0.90041,80.00000,0.10388,112.00000,1.80376,144.00000
1.88355,18.00000,0.36222,54.00000,1.01655,90.00000,0.27574,126.00000,1.21724,162.00000
